Time,Room,8:00am,9:30am,11:00am,12:30pm,2:00pm,3:30pm,5:00pm,6:30pm,
0,Monday,CS-1,Machine Learning (MS-DS),Advanced Programming (CS),Computational Intelligence (MS),Data Sceince (MS),.(CS),.(CS),Design Pattern (MS-SPM),.(CS),
0,Monday,CS-2,.(CS),.(CS),Software Testing (CS-A),Human Computer Interaction (CS-F),Human Computer Interaction (CS-C),.(CS),Research Meeting(CS),.(CS),
0,Monday,CS-3,Technical & Business Writing (CS-C),Numerical Methods (CS-B),Computer Architecture (CS-B),Numerical Methods (CS-A),Computer Architecture (CS-A),Differential Equations "Cal II" (CS-F),.(CS),.(CS),
0,Monday,CS-4,.(CS),.(CS),.(CS),Software for Mobile Devices (CS-A),.(CS),Software for Mobile Devices (CS-B),.(CS),.(CS),
0,Monday,CS-5,Mass Communication (CS),.(CS),.(CS),Comp. Org. & Assembly L. (CS-C),.(CS),Pakistan Studies (CS-B),.(CS),.(CS),
0,Monday,CS-6,Applied Physics (CS-H),Applied Physics (CS-G),Calculus and Ana. Geometry (CS-G),Calculus and Ana. Geometry (CS-H),.(CS),.(CS),.(CS),.(CS),
0,Monday,CS-7,Professional Issues in IT (CS-A),Professional Issues in IT (CS-B),Comp. Org. & Assembly L. (CS-A),Comp. Org. & Assembly L. (CS-B),French Language (CS-A),French Language (CS-B),.(CS),.(CS),
0,Monday,CS-8,Numerical Methods (CS-C),.(CS),Design & Analysis of Algorithms (CS-C),Design & Analysis of Algorithms (CS-D),Sociology (CS-B),Sociology (CS-A),.(CS),.(CS),
0,Monday,CS-9,Total Quality Management (CS),Database Systems (CS-A),Database Systems (CS-B),Design & Analysis of Algorithms (CS-E),Network Security (CS),Database Systems (CS-E),.(CS),.(CS),
0,Monday,CS-10,Digital Logic Design (CS-B),Database Systems (CS-C),Database Systems (CS-D),Fundamental of Computer Vision (CS-B),.(CS),Fundamental of Computer Vision (CS-A),.(CS),.(CS),
0,Monday,CS-11,Software for Mobile Devices (CS-D),Software for Mobile Devices (CS-C),Object Oriented  Analysis & Design (CS-A),.(CS),Object Oriented  Analysis & Design (CS-B),Differential Equations (CS-C),.(CS),.(CS),
0,Monday,CS-15,Arabic Language (CS),Digital Logic Design (CS-A) ,Digital Logic Design (CS-C) ,Differential Equations (CS-A),Psychology (CS),Differential Equations (CS-B),.(CS),.(CS),
0,Monday,CS-16,Technical & Business Writing (CS-A),Technical & Business Writing (CS-F),Communication & Presentation Skills   (CS-B1),x(CS),Communication & Presentation Skills   (CS-A1),x(CS),.(CS),.(CS),
0,Monday,Seminar Hall,Programming Fundamentals (CS-I),.(CS),Communication & Presentation Skills   (CS-B2),x(CS),Communication & Presentation Skills   (CS-A2),x(CS),.(CS),.(CS),
